name,Jmag,Hmag,Kmag
2CXO J182853.5-125737,5.246,4.372,4.0680000000000005
2CXO J203029.1+411526,16.422,15.225,12.934
2CXO J203030.4+411745,14.372,12.997,12.425
2CXO J203032.3+411617,14.876,13.492,12.970999999999998
2CXO J203035.5+411653,14.628,12.996,12.028
2CXO J203036.9+412841,14.45,13.125,12.399
2CXO J203041.2+411735,15.563,13.931,13.252
2CXO J203042.9+411356,13.777,12.772,12.317
2CXO J203057.7+410956,9.093,8.514,8.198
2CXO J203101.1+410737,15.347,14.028,13.43
2CXO J203421.8+405313,16.826,15.237,14.769
2CXO J203456.5+414304,7.711,7.8039999999999985,7.829
2CXO J203800.7+423956,16.406,13.945,12.489
2CXO J000230.7+004959,16.86,16.21,15.532
2CXO J002127.3-020333,16.035,15.407,15.406
2CXO J002227.4+012412,16.383,15.643,15.156
2CXO J002235.5+012203,17.028,16.297,15.31
2CXO J002305.0-010743,16.768,15.832,15.417
2CXO J002332.4-011445,16.25,15.55,14.733
2CXO J004111.8-210752,15.704,15.082,14.845999999999998
2CXO J004258.3-203714,15.481,14.99,14.103
2CXO J004311.6-093816,15.024,14.322,13.921
2CXO J004314.0-092145,15.09,14.373,14.074000000000002
2CXO J004400.6-084917,17.574,16.59,15.491
2CXO J005441.3+000111,16.813,15.914,15.0
2CXO J005734.9-012327,13.75,13.148,12.682
2CXO J005743.8-261321,9.368,9.208,9.162
2CXO J010032.2-020046,16.089000000000002,15.286,14.222
2CXO J010250.0-222157,16.082,15.272,14.269
2CXO J010409.1+000845,15.813,15.073,14.482
2CXO J010514.4+000226,17.102999999999998,16.118,15.583
2CXO J010626.1+003916,16.212,15.886,15.254
2CXO J011948.2+032318,16.407,15.904000000000002,15.832
2CXO J015048.8+004126,16.788,16.305,15.619000000000002
2CXO J015237.1+005637,13.768,13.122,12.947
2CXO J015650.2+005308,16.601,15.812,15.59
2CXO J015652.4-001221,16.292,15.696,14.755
2CXO J015741.5-010630,16.612000000000002,16.151,15.434
2CXO J015910.3+003025,7.58,7.48,7.4220000000000015
2CXO J015957.6+003311,16.836,15.911,15.666
2CXO J020056.7+004149,12.800999999999998,12.2,11.939
2CXO J021822.1-050614,14.461,13.657,13.206
2CXO J022353.6+421221,14.393,13.746,13.300999999999998
2CXO J022633.2+614116,12.677,11.893,11.493
2CXO J022646.5+613544,15.475,13.977,13.325
2CXO J022712.9+615139,10.818,10.317,10.03
2CXO J022713.6+613726,11.143,10.417,9.962
2CXO J023209.1+612630,11.481,11.217,11.125
2CXO J023210.7+613307,8.787,8.738999999999999,8.654
2CXO J023229.9+612707,11.609000000000002,11.244000000000002,11.125
2CXO J023234.3-073105,16.651,16.607,15.479
2CXO J023236.3+612825,8.545,8.433,8.394
2CXO J023237.3+613219,11.512,11.314,11.206
2CXO J023240.7+612800,10.251,10.09,10.051
2CXO J023240.9+612748,13.720999999999998,12.927,12.748
2CXO J023242.1+613105,13.982,13.251,13.0
2CXO J023243.5+612631,11.218,10.890999999999998,10.776
2CXO J023243.9+612720,9.46,9.378,9.282
2CXO J023247.5+612700,10.515999999999998,10.187,10.02
2CXO J023249.3+612641,12.011,11.754,11.63
2CXO J023249.4+612242,6.477,6.31,6.158
2CXO J023257.8+612726,10.688,10.544,10.452
2CXO J023258.8+612553,14.659,14.003,13.758
2CXO J023304.7+612821,10.336,10.16,10.122
2CXO J023305.2+612707,11.423,11.057,10.958
2CXO J023320.6+613118,7.419,7.322,7.269
2CXO J023330.1+612854,12.406,12.135,11.973
2CXO J023549.7-071120,12.452,11.825,11.43
2CXO J023958.9+611519,10.015,9.919,9.823
2CXO J024044.7+611649,8.812999999999997,8.619,8.589
2CXO J024044.9+611656,6.417999999999998,6.246,6.153
2CXO J031859.3-441627,15.927,15.312,14.712
2CXO J034117.5-352615,8.246,8.052,8.014
2CXO J041733.9+282048,9.828,8.97,8.597000000000001
2CXO J041831.1+281628,9.83,8.682,7.877999999999999
2CXO J041831.6+281658,10.517,9.774,9.362
2CXO J041858.2+281222,13.778,12.345999999999998,11.175999999999998
2CXO J041912.5+282929,10.491,9.702,9.313
2CXO J042134.6+270138,11.895,10.965,10.437
2CXO J042146.3+265929,13.823,12.734000000000002,12.134
2CXO J042155.6+275505,9.18,8.273,7.798999999999999
2CXO J042200.7+265732,15.082,13.351,11.753
2CXO J042202.1+265730,10.705,9.244,8.177999999999999
2CXO J042216.7+265457,11.577,10.037,9.011
2CXO J042426.4+264950,12.884,12.193,11.764
2CXO J042457.0+271156,9.781,8.892999999999997,8.349
2CXO J042656.2+244335,15.754,12.353,9.992
2CXO J042930.8+264017,7.8439999999999985,7.534,7.4620000000000015
2CXO J043003.5+181349,9.866,8.948,8.919
2CXO J043003.9+181349,8.623,7.96,7.551
2CXO J043214.5+182014,9.165,8.494,8.23
2CXO J043354.7+261327,9.866,8.591000000000001,7.86
2CXO J043736.1-022825,4.744,4.77,4.537
2CXO J044148.2-011806,13.8,12.966,12.684
2CXO J044536.7-591428,16.195,15.543,14.605
2CXO J044542.6-591447,12.099,11.637,9.542
2CXO J050927.0-685836,9.456,8.999,8.913
2CXO J050940.5-685324,13.304,13.152,12.901
2CXO J050953.9-685251,13.403,13.213,12.880999999999998
2CXO J051559.9-691609,15.351,15.148,13.919
2CXO J052013.5-690939,15.992,15.328,15.068
2CXO J052132.4-483208,8.102,7.622999999999998,7.481
2CXO J052211.0-694552,8.842,8.482999999999999,8.38
2CXO J053242.6-704128,9.21,9.015,8.995
2CXO J053344.5-703320,15.705,15.565,15.25
2CXO J053401.7-054651,12.393,11.658,11.470999999999998
2CXO J053418.4-053400,11.905,11.152,10.973
2CXO J053429.3-063849,11.93,11.25,11.014
2CXO J053435.7-045349,12.69,11.976,11.791
2CXO J053438.7-063555,12.819,12.202,11.959
2CXO J053442.4-051219,9.961,9.06,8.755
2CXO J053444.9-051047,12.183,11.336,10.704
2CXO J053456.8-051132,10.896,10.345,10.147
2CXO J053457.8-044912,12.728,11.91,11.682
2CXO J053459.3-045012,11.769,10.932,10.659
2CXO J053500.7-044649,12.441,11.695,11.45
2CXO J053500.9-044819,12.382,11.578,11.255999999999998
2CXO J053502.0-044730,13.49,12.859000000000002,12.508
2CXO J053502.3-044916,12.705,11.876,11.602
2CXO J053502.6-044929,11.086,10.218,10.036
2CXO J053502.9-044832,13.213,12.507,12.194
2CXO J053503.6-045053,11.467,10.365,9.596
2CXO J053504.3-050812,8.121,7.473,7.267
2CXO J053504.7-044709,14.01,13.4,13.052
2CXO J053504.9-044913,12.021,11.33,11.112
2CXO J053505.2-044803,12.125,11.406,11.158
2CXO J053505.3-044319,9.77,9.362,9.309
2CXO J053505.8-044843,12.214,11.161,10.566
2CXO J053507.2-045025,12.251,11.544,11.34
2CXO J053508.0-063348,8.811,8.798,8.742
2CXO J053508.6-044652,12.693,11.074000000000002,9.911
2CXO J053510.9-044712,13.300999999999998,12.594,12.343
2CXO J053511.5-044634,12.293,11.626,11.403
2CXO J053513.3-045145,8.086,7.744,7.582000000000002
2CXO J053513.6-044258,11.902,11.012,10.635
2CXO J053514.4-045524,12.856,12.091,11.491
2CXO J053515.7-045054,13.565,12.75,12.409
2CXO J053516.7-044544,11.348,10.378,9.72
2CXO J053517.1-043949,12.289,11.47,11.074000000000002
2CXO J053517.8-044452,11.612,10.725,10.159
2CXO J053518.3-045323,12.699000000000002,11.126,10.114
2CXO J053518.4-044056,8.76,8.543,8.392000000000001
2CXO J053519.2-045307,13.687,13.052,12.720999999999998
2CXO J053520.0-044134,12.92,12.107,11.672
2CXO J053520.4-064541,12.451,11.848,11.628
2CXO J053521.0-044538,13.11,12.47,12.186
2CXO J053521.7-045312,10.513,10.097,10.007
2CXO J053521.8-045407,11.825,11.04,10.675
2CXO J053522.2-044133,13.808,12.708,12.102
2CXO J053522.5-045237,12.291,11.213,10.677
2CXO J053522.7-044829,11.858,11.046,10.739
2CXO J053523.1-045019,5.3610000000000015,5.0539999999999985,5.056
2CXO J053523.2-044904,11.805,11.075,10.878
2CXO J053523.7-044816,13.082,12.353,12.015
2CXO J053524.6-044943,12.341,11.528,11.347
2CXO J053525.1-064756,11.368,10.468,9.969
2CXO J053525.5-045120,12.292,11.281,10.689
2CXO J053525.6-044931,12.928,12.239,11.947
2CXO J053526.3-044926,13.216,12.546,12.281
2CXO J053527.0-064548,13.212,12.332,11.96
2CXO J053528.4-044237,12.595,11.883,11.617
2CXO J053528.6-044726,12.529000000000002,11.68,11.199000000000002
2CXO J053528.6-044816,15.791,14.416,12.879
2CXO J053529.9-044952,11.749,11.0,10.775
2CXO J053530.8-045518,11.863,11.069,10.673
2CXO J053530.8-703013,9.106,8.828,8.77
2CXO J053531.1-045415,9.12,9.074,9.112
2CXO J053531.6-044107,13.328,12.474,12.184
2CXO J053532.2-044657,11.781,10.743,10.17
2CXO J053532.7-045011,11.239,10.219,9.622
2CXO J053533.3-045015,7.602,7.729,7.747999999999998
2CXO J053533.3-045111,12.698,11.834,11.434
2CXO J053533.6-044623,12.08,11.193,10.839
2CXO J053535.2-044739,12.348,11.533,11.258
2CXO J053536.1-660114,13.824000000000002,13.925,14.036
2CXO J053536.2-045120,11.356,10.565,10.368
2CXO J053537.3-062326,12.524,11.875,11.614
2CXO J053538.3-043834,13.547,12.792,12.343
2CXO J053538.5-062342,13.413,12.747,12.474
2CXO J053540.7-044830,10.911,10.43,10.248
2CXO J053541.0-062245,10.912,10.073,9.697
2CXO J053542.6-063451,12.369000000000002,11.579,11.161
2CXO J053542.7-062144,12.982,12.251,11.964
