name,fuv_mag,nuv_mag
2CXO J004821.6-285207,21.527,20.758000000000006
2CXO J004828.6-284831,21.48,19.548
2CXO J004842.4-283433,20.983,19.998
2CXO J004944.3-002302,20.021,19.884
2CXO J004959.4-004043,,21.506
2CXO J005009.8-003900,,21.145
2CXO J005018.8-005438,21.058000000000003,21.023000000000003
2CXO J005055.6+293328,,21.277
2CXO J005245.4-262422,,22.421
2CXO J005259.4-262512,18.807,18.197
2CXO J005424.8+124215,21.114,20.039
2CXO J005644.6+021630,,21.354
2CXO J005701.1+145003,20.983,19.846
2CXO J005916.1+153816,20.609,20.114
2CXO J010112.0-094500,19.279,18.788
2CXO J010449.0-393245,,20.871
2CXO J010701.4-172745,20.83,19.887
2CXO J010715.9-083429,19.55,19.33
2CXO J010835.1+214818,20.873,20.671
2CXO J011227.5-011221,,20.288
2CXO J011341.8+005000,,22.48
2CXO J011342.9+004829,21.451,20.156
2CXO J011431.7+002624,,22.16
2CXO J011457.3+003329,21.318,20.933000000000003
2CXO J011517.7+001715,,21.667
2CXO J011522.1+001518,,22.963
2CXO J011537.7+002029,,20.383
2CXO J011651.5-103425,,20.521
2CXO J011924.7+141143,21.514,20.232
2CXO J011927.4-083133,22.092,19.771
2CXO J011956.0-201022,16.865,16.116
2CXO J012227.8-042126,20.473,19.714
2CXO J012250.2+004243,17.597,13.271
2CXO J012254.3+145103,20.535,19.112
2CXO J012308.8+003306,20.19,18.963
2CXO J012341.4+004435,22.678,21.476
2CXO J012349.3+034756,19.731,19.172
2CXO J012401.2-350307,,21.038
2CXO J012401.8+003458,,22.688
2CXO J012407.8+034345,,21.105
2CXO J012433.1+034334,19.557,19.033
2CXO J012434.1+034740,18.351,15.335
2CXO J012930.7-522857,20.727,14.323
2CXO J012937.1-522950,19.089,14.568
2CXO J012959.7+233820,,21.701
2CXO J013120.2+061959,16.302,13.895
2CXO J013128.2+003227,,21.773000000000003
2CXO J013253.3-095239,20.17,19.543
2CXO J013343.2+035735,18.569000000000006,18.677
2CXO J013419.3+000825,,20.831
