|        id_x|         ra|        dec| pos_err|
|        char|     double|     double|  double|
|            |           |           |  arcsec|
|        null|       null|       null|    null|
      cid_188  149.644831    2.052948    0.489 
     cid_1881  150.317922    2.535071    0.511 
      cid_189  149.651719    2.058422    0.499 
      cid_190  149.656361    2.076289    0.128 
      cid_191  149.656478    2.051122    0.262 
     cid_1913  149.976950    2.486527    0.768 
     cid_1917  149.997910    2.578149    0.195 
      cid_192  149.663610    2.085172    0.100 
     cid_1925  150.025143    2.633567    0.459 
      cid_193  149.674095    1.888399    0.134 
     cid_1930  150.042242    2.629243    0.325 
     cid_1932  150.049038    2.586646    0.148 
      cid_194  149.674994    1.911985    0.204 
      cid_195  149.683910    1.933119    0.129 
     cid_1956  149.855706    2.582273    0.280 
      cid_196  149.691679    1.818125    0.339 
     cid_1961  149.884070    2.610120    0.428 
      cid_197  149.703029    1.833328    0.242 
     cid_1972  149.941115    2.663727    0.513 
     cid_1975  149.951057    2.694328    0.644 
     cid_1976  149.952278    2.651123    0.855 
     cid_1977  149.955166    2.657823    0.871 
      cid_198  149.709556    1.883300    0.465 
      cid_199  149.716016    1.863273    0.444 
     cid_1995  150.424490    2.291752    0.456 
       cid_20  150.170460    2.218800    0.200 
      cid_200  149.733143    1.900278    0.302 
     cid_2000  150.433800    2.225468    0.302 
     cid_2002  150.442959    2.229873    0.381 
     cid_2004  150.449990    2.250861    0.429 
      cid_201  149.906130    1.917286    0.108 
     cid_2012  150.479564    2.253080    0.156 
     cid_2013  150.481804    2.273194    0.196 
     cid_2015  150.487040    2.283044    0.946 
     cid_2016  150.491340    2.255340    0.286 
     cid_2018  150.494024    2.225492    0.398 
      cid_202  149.922580    1.979333    0.190 
     cid_2027  150.518606    2.157731    0.590 
     lid_3739  150.377151    1.563703    1.575 
      lid_374  149.921833    2.875319    0.210 
     lid_3740  150.392376    1.676825    0.420 
     lid_3743  150.402461    1.714088    0.258 
     lid_3745  150.419351    1.719018    0.204 
     lid_3746  150.419607    1.661695    0.320 
     lid_3250  149.890948    2.623531    0.218 
     lid_3251  149.905319    2.666461    0.634 
     lid_3253  149.906516    2.720763    0.333 
     lid_3254  149.915374    2.696437    0.408 
     lid_3258  149.770757    2.728863    0.606 
     lid_3259  149.787396    2.671889    0.286 
      lid_326  150.202156    2.795915    0.306 
     lid_3263  149.823918    2.690454    1.023 
     lid_3264  149.844470    2.761264    0.392 
     lid_3269  149.781099    2.702514    0.481 
      lid_327  150.213667    2.862587    0.645 
     lid_3273  149.826998    2.676203    0.679 
     lid_3275  149.707792    2.817847    0.942 
     lid_3276  149.755816    2.804898    0.354 
     lid_3278  149.785100    2.835698    0.550 
     lid_3279  149.653710    2.719873    0.470 
      lid_328  150.215101    2.794631    0.342 
     lid_3280  149.723258    2.728532    0.599 
     lid_3283  149.762991    2.695195    0.635 
     lid_3285  149.792014    2.638095    0.394 
     lid_3289  149.742691    2.540347    0.311 
      lid_329  150.226845    2.874749    1.262 
     lid_3290  149.752268    2.629196    0.243 
     lid_3291  149.754529    2.538334    0.487 
     lid_3293  149.585383    2.369228    0.820 
     lid_3295  149.649527    2.386194    0.349 
     lid_3296  149.662872    2.336760    0.428 
     lid_3297  149.724512    2.369623    0.915 
      lid_330  150.227531    2.757851    0.122 
     lid_3303  149.633880    2.215660    0.732 
     lid_3305  149.655502    2.310758    0.452 
     lid_3307  149.675924    2.222439    0.507 
     lid_3308  149.678522    2.204220    0.972 
     lid_3309  149.711802    2.215859    0.472 
      lid_331  150.230604    2.778134    0.240 
     lid_3310  149.486269    2.122154    1.024 
     lid_3312  149.503400    2.118023    0.737 
     lid_3313  149.552678    2.151190    0.341 
     lid_3314  149.560733    2.137069    0.399 
     lid_3315  149.575943    2.213472    0.689 
      lid_332  150.236685    2.813706    0.196 
     lid_3320  149.633922    2.066030    0.880 
     lid_3324  149.441562    2.043822    1.122 
     lid_3327  149.513785    2.044294    0.562 
     lid_3329  149.527565    2.091478    0.708 
      lid_333  150.251478    2.737264    0.323 
     lid_3331  149.533268    2.032194    0.248 
     lid_3333  149.547031    2.059944    0.349 
     lid_3335  149.563954    2.030012    0.329 
     lid_3336  149.583206    2.045656    0.378 
     lid_3337  149.591484    2.036083    0.799 
     lid_3338  149.583342    2.778004    0.878 
      lid_334  150.254328    2.831868    0.220 
     lid_3343  149.542883    2.375717    0.550 
     lid_3345  149.340084    2.300424    1.803 
     lid_3347  149.398552    2.252748    1.170 
     lid_3349  149.412092    2.410103    1.316 
      lid_335  150.255645    2.770546    0.455 
     lid_3350  149.415292    2.250284    1.005 
     lid_3351  149.417634    2.265614    0.875 
     lid_3353  149.479629    2.206855    1.385 
     lid_3354  149.498748    2.301462    0.320 
     lid_3356  149.504038    2.300291    0.330 
     lid_3357  149.531815    2.250800    0.835 
     lid_3358  149.562104    2.305016    0.560 
      lid_336  150.259729    2.769277    0.223 
     lid_3360  149.441732    2.746492    0.594 
     lid_3364  149.485059    2.865599    1.956 
     lid_1192  149.746408    1.517985    0.934 
     lid_1193  149.767019    1.663872    0.422 
     lid_1194  149.773571    1.540579    0.426 
